供應商編號,供應商名稱,供應商國家,供應商城市,產品類別,產品名稱,產品代碼,單價美元,最小訂購量,交期天數,品質評分,付款條件,備用供應商1,備用供應商2,合約開始日期,合約結束日期,最後訂購日期,2024年總訂單數,風險等級
SUP001,台積電,台灣,新竹,處理器晶片,旗艦級SoC處理器,CHIP-SOC-FLAG-001,285.50,10000,45,4.9,NET45,SUP023,SUP056,2024-01-15,2025-12-31,2024-12-10,156,低
SUP002,三星顯示,韓國,首爾,顯示面板,6.7吋AMOLED螢幕,OLED-6.7IN-001,125.80,5000,35,4.8,NET30,SUP013,SUP035,2024-02-01,2025-06-30,2024-12-08,89,中
SUP003,寧德時代,中國,寧德,電池模組,4500mAh鋰電池,BAT-LI-4500-001,28.90,20000,25,4.7,NET30,SUP025,SUP047,2024-01-10,2025-12-31,2024-12-12,234,低
SUP004,村田製作所,日本,京都,被動元件,多層陶瓷電容,MLCC-001,0.35,100000,14,4.9,NET30,SUP032,SUP014,2024-03-01,2025-08-31,2024-12-11,445,低
SUP005,富士康,中國,深圳,組裝代工,智能手機組裝,ASM-PHONE-001,45.75,50000,21,4.6,NET45,SUP024,SUP050,2024-01-20,2025-12-31,2024-12-09,178,中
SUP006,比亞迪,中國,西安,機構件,鋁合金中框,FRAME-ALU-001,15.60,30000,18,4.5,NET30,SUP028,SUP039,2024-02-15,2025-10-31,2024-12-07,67,中
SUP007,欣興電子,台灣,桃園,印刷電路板,多層主板PCB,PCB-MAIN-001,25.20,15000,28,4.8,NET30,SUP029,SUP040,2024-01-05,2025-12-31,2024-12-13,123,低
SUP008,博世,德國,慕尼黑,感測器,六軸陀螺儀,GYRO-6AXIS-001,8.45,25000,30,4.9,NET60,SUP019,SUP030,2024-03-10,2025-09-30,2024-12-06,298,低
SUP009,瑞聲科技,中國,深圳,聲學元件,立體聲揚聲器,SPKR-STEREO-001,6.30,40000,16,4.4,NET30,SUP016,SUP031,2024-02-20,2025-11-30,2024-12-05,156,中
SUP010,日月光,台灣,高雄,封裝測試,晶片封裝服務,PKG-CHIP-001,12.80,20000,22,4.7,NET45,SUP021,SUP033,2024-01-25,2025-12-31,2024-12-04,89,低
SUP011,德州儀器,美國,德州,電源管理,電源管理IC,PMU-IC-001,18.90,15000,35,4.8,NET30,SUP022,SUP044,2024-02-05,2025-07-31,2024-12-03,134,中
SUP012,美光科技,美國,愛達荷,記憶體,LPDDR5記憶體,MEM-LPDDR5-001,32.95,8000,40,4.9,NET30,SUP034,SUP045,2024-01-12,2025-12-31,2024-12-02,267,低
SUP013,京東方,中國,北京,顯示面板,6.1吋LCD螢幕,LCD-6.1IN-001,45.50,12000,32,4.6,NET45,SUP002,SUP035,2024-03-15,2025-12-31,2024-12-01,45,中
SUP014,TDK,日本,東京,被動元件,無線充電線圈,COIL-WIRELESS-001,5.60,35000,20,4.7,NET30,SUP004,SUP032,2024-02-10,2025-09-30,2024-11-30,178,低
SUP015,立訊精密,中國,昆山,連接器,USB-C連接器,CONN-USBC-001,2.85,80000,12,4.5,NET30,SUP026,SUP037,2024-01-30,2025-12-31,2024-11-29,523,中
SUP016,歌爾股份,中國,濰坊,聲學模組,降噪麥克風,MIC-ANC-001,3.25,60000,18,4.6,NET45,SUP009,SUP031,2024-02-25,2025-11-30,2024-11-28,345,低
SUP017,舜宇光學,中國,寧波,攝像頭模組,108MP主攝模組,CAM-MAIN-108MP-001,28.40,25000,26,4.8,NET30,SUP038,SUP049,2024-03-05,2025-08-31,2024-11-27,98,中
SUP018,臻鼎科技,台灣,新北,軟性電路板,FPC連接軟板,FPC-CONN-001,8.75,40000,24,4.7,NET30,SUP018,SUP043,2024-01-18,2025-12-31,2024-11-26,76,低
SUP019,意法半導體,法國,格勒諾布爾,感測器,三軸加速度計,ACCEL-3AXIS-001,4.20,50000,33,4.8,NET60,SUP008,SUP030,2024-02-28,2025-10-31,2024-11-25,189,低
SUP020,高通,美國,聖地牙哥,射頻晶片,5G數據機晶片,MODEM-5G-001,95.75,12000,42,4.8,NET30,SUP011,SUP044,2024-03-20,2025-12-31,2024-11-24,78,中
SUP021,康寧,美國,紐約,保護玻璃,大猩猩玻璃7,GLASS-GG7-001,8.50,100000,28,4.9,NET45,SUP036,SUP048,2024-01-08,2025-12-31,2024-11-23,267,低
SUP022,英飛凌,德國,慕尼黑,電源晶片,快充控制IC,CHRG-CTRL-IC-001,12.75,35000,35,4.7,NET30,SUP011,SUP033,2024-02-12,2025-09-30,2024-11-22,145,中
SUP023,聯發科,台灣,新竹,處理器晶片,天璣9300處理器,CHIP-D9300-001,195.65,8000,38,4.7,NET30,SUP001,SUP056,2024-01-22,2025-12-31,2024-11-21,89,低
SUP024,和碩,台灣,台北,組裝代工,平板電腦組裝,ASM-TABLET-001,65.40,15000,24,4.6,NET45,SUP005,SUP050,2024-03-08,2025-11-30,2024-11-20,56,中
SUP025,LG化學,韓國,首爾,電池材料,鋰電池正極材料,BAT-CATHODE-001,8.80,80000,30,4.8,NET30,SUP003,SUP047,2024-02-18,2025-12-31,2024-11-19,189,低
SUP026,安費諾,美國,康乃狄克,連接器,高速連接器,CONN-HS-001,3.95,120000,15,4.7,NET30,SUP015,SUP037,2024-01-28,2025-08-31,2024-11-18,367,中
SUP027,住友電工,日本,大阪,傳輸線材,同軸傳輸線,COAX-CABLE-001,2.50,200000,20,4.8,NET45,SUP038,SUP049,2024-02-22,2025-10-31,2024-11-17,298,低
SUP028,可成科技,台灣,台南,金屬機構,鈦合金中框,FRAME-TI-001,28.90,25000,25,4.6,NET30,SUP006,SUP039,2024-03-12,2025-12-31,2024-11-16,45,中
SUP029,健鼎科技,台灣,新北,印刷電路板,HDI高密度板,PCB-HDI-001,42.60,12000,32,4.8,NET30,SUP007,SUP040,2024-01-15,2025-12-31,2024-11-15,67,低
SUP030,艾邁斯,奧地利,維也納,感測器,環境光感測器,ALS-SENSOR-001,2.30,80000,27,4.9,NET60,SUP008,SUP019,2024-02-08,2025-09-30,2024-11-14,234,低
SUP031,瑞昱半導體,台灣,新竹,音頻晶片,高保真音頻編解碼器,CODEC-HIFI-001,6.75,45000,25,4.7,NET30,SUP009,SUP016,2024-03-18,2025-11-30,2024-11-13,178,低
SUP032,嘉聯益,台灣,桃園,被動元件,高容量MLCC,MLCC-HC-001,0.25,400000,18,4.8,NET45,SUP004,SUP014,2024-01-20,2025-12-31,2024-11-12,423,低
SUP033,安森美,美國,亞利桑那,電源晶片,電池管理IC,BMS-IC-001,15.40,25000,28,4.8,NET30,SUP011,SUP022,2024-02-15,2025-08-31,2024-11-11,156,中
SUP034,聯詠科技,台灣,新竹,顯示驅動晶片,AMOLED驅動IC,DDIC-AMOLED-001,18.20,18000,22,4.8,NET30,SUP012,SUP045,2024-01-10,2025-12-31,2024-11-10,98,低
SUP035,友達光電,台灣,新竹,顯示面板,10.1吋平板螢幕,LCD-10.1IN-001,85.60,6000,35,4.7,NET45,SUP002,SUP013,2024-03-25,2025-12-31,2024-11-09,34,中
SUP036,旭硝子,日本,東京,保護玻璃,強化玻璃基板,GLASS-TEMP-001,6.70,150000,26,4.8,NET30,SUP021,SUP048,2024-02-05,2025-10-31,2024-11-08,289,低
SUP037,莫仕,美國,伊利諾州,連接器,微型同軸連接器,CONN-MICRO-COAX-001,1.85,250000,21,4.7,NET30,SUP015,SUP026,2024-01-25,2025-09-30,2024-11-07,445,中
SUP038,大立光電,台灣,台中,光學鏡頭,超廣角鏡頭模組,LENS-UW-001,18.80,35000,32,4.9,NET45,SUP017,SUP049,2024-02-20,2025-11-30,2024-11-06,167,低
SUP039,鴻準精密,台灣,新北,精密機構,CNC精密加工,CNC-PRECISION-001,125.00,8000,45,4.8,NET60,SUP006,SUP028,2024-03-10,2025-12-31,2024-11-05,23,中
SUP040,華通電腦,台灣,桃園,印刷電路板,軟硬結合板,RIGID-FLEX-001,68.90,8000,35,4.7,NET30,SUP007,SUP029,2024-01-12,2025-12-31,2024-11-04,45,中
SUP041,聯發科,台灣,新竹,AI晶片,AI處理單元,APU-AI-001,156.45,6000,50,4.8,NET60,SUP001,SUP023,2024-02-28,2025-10-31,2024-11-03,56,中
SUP042,思佳訊,美國,麻州,射頻元件,5G功率放大器,PA-5G-001,8.60,65000,28,4.7,NET30,SUP020,SUP022,2024-03-15,2025-12-31,2024-11-02,223,中
SUP043,台郡科技,台灣,桃園,天線模組,多頻段天線,ANT-MULTI-001,12.80,40000,25,4.8,NET45,SUP018,SUP054,2024-01-18,2025-12-31,2024-11-01,167,低
SUP044,恩智浦,荷蘭,埃因霍溫,安全晶片,eSIM安全晶片,ESIM-SE-001,5.90,80000,32,4.8,NET30,SUP011,SUP033,2024-02-10,2025-08-31,2024-10-31,278,中
SUP045,海思半導體,中國,深圳,影像處理晶片,ISP影像處理器,ISP-CHIP-001,45.20,15000,38,4.6,NET30,SUP012,SUP034,2024-01-05,2025-12-31,2024-10-30,89,中
SUP046,維信諾,中國,昆山,柔性顯示,可摺疊OLED面板,OLED-FOLD-001,385.70,2000,55,4.5,NET45,SUP002,SUP035,2024-03-20,2025-12-31,2024-10-29,18,高
SUP047,比克電池,中國,深圳,電池芯,高倍率電芯,CELL-HR-001,8.40,120000,30,4.7,NET30,SUP003,SUP025,2024-02-25,2025-11-30,2024-10-28,345,低
SUP048,肖特集團,德國,美因茨,特殊玻璃,超薄玻璃基板,GLASS-ULTRA-001,15.85,80000,35,4.9,NET30,SUP021,SUP036,2024-01-30,2025-10-31,2024-10-27,189,低
SUP049,玉晶光電,台灣,新竹,光學鏡頭,長焦鏡頭模組,LENS-TELE-001,35.50,20000,28,4.8,NET45,SUP017,SUP038,2024-02-12,2025-09-30,2024-10-26,89,中
SUP050,廣達電腦,台灣,桃園,系統組裝,智能手錶組裝,ASM-WATCH-001,28.60,25000,28,4.7,NET30,SUP005,SUP024,2024-03-08,2025-12-31,2024-10-25,134,中
SUP051,景碩科技,台灣,桃園,載板,處理器載板,SUBSTRATE-CPU-001,85.30,12000,38,4.8,NET30,SUP010,SUP033,2024-01-22,2025-12-31,2024-10-24,56,中
SUP052,索尼,日本,東京,影像感測器,50MP CMOS感測器,CMOS-50MP-001,25.50,45000,35,4.9,NET60,SUP017,SUP038,2024-02-15,2025-10-31,2024-10-23,223,低
SUP053,美律實業,台灣,新北,聲學元件,MEMS麥克風,MIC-MEMS-001,2.80,150000,20,4.7,NET30,SUP009,SUP016,2024-03-12,2025-11-30,2024-10-22,467,低
SUP054,台光電子,台灣,桃園,軟板材料,高頻軟板材料,PI-HF-001,18.90,35000,26,4.8,NET45,SUP018,SUP043,2024-01-28,2025-12-31,2024-10-21,189,低
SUP055,Anker,中國,深圳,充電配件,無線充電器,CHRG-WIRELESS-001,15.70,50000,22,4.6,NET30,SUP014,SUP032,2024-02-20,2025-09-30,2024-10-20,223,中
SUP056,紫光展銳,中國,上海,通訊晶片,WiFi6晶片,WIFI6-CHIP-001,12.60,60000,35,4.7,NET30,SUP001,SUP023,2024-01-15,2025-12-31,2024-10-19,345,低
SUP057,群創光電,台灣,苗栗,顯示面板,車用顯示面板,LCD-AUTO-001,125.30,4000,42,4.6,NET45,SUP002,SUP013,2024-03-18,2025-12-31,2024-10-18,28,中
SUP058,新普科技,台灣,桃園,電池模組,無人機電池,BAT-DRONE-001,68.80,8000,30,4.8,NET30,SUP003,SUP025,2024-02-08,2025-11-30,2024-10-17,45,中
SUP059,JAE,日本,東京,連接器,高密度連接器,CONN-HD-001,6.40,100000,24,4.8,NET30,SUP015,SUP026,2024-01-25,2025-08-31,2024-10-16,378,低
SUP060,鴻海精密,台灣,新北,傳輸線材,高速數據線,CABLE-HS-DATA-001,8.20,80000,18,4.7,NET45,SUP027,SUP049,2024-02-22,2025-10-31,2024-10-15,345,低
SUP061,長盈精密,中國,東莞,金屬外殼,鋁合金後蓋,COVER-ALU-001,22.90,35000,28,4.6,NET30,SUP006,SUP028,2024-03-05,2025-12-31,2024-10-14,156,中
SUP062,南亞電路板,台灣,桃園,印刷電路板,嵌入式元件PCB,PCB-EMBEDDED-001,58.40,10000,30,4.8,NET30,SUP007,SUP029,2024-01-12,2025-12-31,2024-10-13,78,中
SUP063,豪威科技,中國,上海,影像感測器,前置攝像頭感測器,CMOS-FRONT-001,12.60,70000,32,4.8,NET60,SUP052,SUP017,2024-02-28,2025-09-30,2024-10-12,267,低
SUP064,瑞聲科技,中國,深圳,聲學元件,立體聲音響模組,AUDIO-STEREO-001,18.70,45000,26,4.7,NET30,SUP009,SUP031,2024-03-15,2025-11-30,2024-10-11,189,中
SUP065,台光電子,台灣,桃園,軟性電路板,多層軟板,FPC-MULTI-001,28.80,25000,35,4.7,NET45,SUP018,SUP054,2024-01-20,2025-12-31,2024-10-10,123,低
SUP066,德賽電池,中國,惠州,電池模組,快充電池模組,BAT-FAST-CHRG-001,35.90,18000,25,4.8,NET30,SUP003,SUP025,2024-02-12,2025-08-31,2024-10-09,145,中
SUP067,奇景光電,台灣,新竹,顯示驅動IC,觸控顯示驅動IC,TDDI-IC-001,15.80,30000,28,4.8,NET30,SUP034,SUP045,2024-01-08,2025-12-31,2024-10-08,223,低
SUP068,天馬微電子,中國,深圳,顯示面板,中小尺寸OLED,OLED-SMALL-001,95.50,6000,38,4.6,NET45,SUP002,SUP013,2024-03-22,2025-12-31,2024-10-07,45,中
SUP069,欣旺達,中國,深圳,電池模組,聚合物電池,BAT-POLYMER-001,18.60,60000,32,4.7,NET30,SUP003,SUP047,2024-02-18,2025-10-31,2024-10-06,278,低
SUP070,TE Connectivity,美國,賓州,連接器,光纖連接器,CONN-FIBER-001,12.70,50000,22,4.8,NET30,SUP015,SUP026,2024-01-30,2025-09-30,2024-10-05,189,低
SUP071,住友電工,日本,大阪,傳輸線材,同軸電纜,CABLE-COAX-001,5.80,120000,25,4.8,NET45,SUP027,SUP060,2024-02-25,2025-11-30,2024-10-04,334,低
SUP072,勝華科技,台灣,桃園,觸控面板,電容式觸控面板,TOUCH-CAP-001,35.90,15000,32,4.6,NET30,SUP013,SUP035,2024-03-10,2025-12-31,2024-10-03,89,中
SUP073,南亞塑膠,台灣,高雄,塑膠材料,工程塑膠外殼,SHELL-PLASTIC-001,8.40,80000,20,4.7,NET30,SUP061,SUP028,2024-01-15,2025-12-31,2024-10-02,456,低
SUP074,森薩塔科技,美國,麻州,感測器,溫度感測器,TEMP-SENSOR-001,3.70,100000,28,4.8,NET60,SUP008,SUP030,2024-02-08,2025-10-31,2024-10-01,378,低
SUP075,瑞昱半導體,台灣,新竹,音頻晶片,藍牙音頻晶片,BT-AUDIO-001,8.50,55000,25,4.7,NET30,SUP031,SUP064,2024-03-18,2025-11-30,2024-09-30,234,低
SUP076,台光電子,台灣,桃園,軟板材料,高頻軟板,FPC-HF-001,22.80,30000,30,4.8,NET45,SUP018,SUP065,2024-01-22,2025-12-31,2024-09-29,167,低
SUP077,台達電子,台灣,桃園,電源模組,開關電源模組,PSU-SWITCH-001,45.90,20000,35,4.8,NET30,SUP011,SUP033,2024-02-15,2025-08-31,2024-09-28,123,中
SUP078,矽創電子,台灣,新竹,電源管理IC,LED驅動IC,LED-DRIVER-001,4.60,80000,22,4.7,NET30,SUP011,SUP044,2024-01-10,2025-12-31,2024-09-27,445,低
SUP079,群創光電,台灣,苗栗,背光模組,LED背光模組,BACKLIGHT-LED-001,28.70,25000,28,4.6,NET45,SUP057,SUP035,2024-03-25,2025-12-31,2024-09-26,134,中
SUP080,ATL,中國,東莞,電池模組,平板電池模組,BAT-TABLET-001,42.80,15000,32,4.7,NET30,SUP003,SUP025,2024-02-20,2025-11-30,2024-09-25,89,中
SUP081,富士通,日本,東京,連接器,高頻連接器,CONN-HF-001,15.90,45000,28,4.8,NET30,SUP015,SUP026,2024-01-28,2025-10-31,2024-09-24,234,低
SUP082,貝爾金,美國,加州,傳輸線材,USB數據線,CABLE-USB-001,6.50,100000,22,4.6,NET45,SUP027,SUP060,2024-02-22,2025-09-30,2024-09-23,456,低
SUP083,OtterBox,美國,科羅拉多,保護殼,防摔保護殼,CASE-PROTECT-001,18.80,60000,25,4.7,NET30,SUP061,SUP073,2024-03-12,2025-12-31,2024-09-22,178,中
SUP084,Rogers,美國,康乃狄克,高頻材料,高頻PCB基材,PCB-HF-SUB-001,35.70,20000,35,4.8,NET30,SUP007,SUP040,2024-01-18,2025-12-31,2024-09-21,123,中
SUP085,霍尼韋爾,美國,北卡,感測器,壓力感測器,PRESS-SENSOR-001,12.90,65000,30,4.8,NET60,SUP008,SUP074,2024-02-28,2025-10-31,2024-09-20,267,低
SUP086,Cirrus Logic,美國,德州,音頻晶片,數位音頻處理器,DAP-CHIP-001,18.60,35000,32,4.7,NET30,SUP031,SUP075,2024-03-15,2025-11-30,2024-09-19,145,中
SUP087,Polyimide,韓國,首爾,軟板材料,聚醯亞胺薄膜,PI-FILM-001,8.70,80000,28,4.8,NET45,SUP054,SUP076,2024-01-25,2025-12-31,2024-09-18,389,低
SUP088,Mean Well,台灣,新北,電源供應器,DC-DC轉換器,DCDC-CONV-001,25.80,25000,26,4.7,NET30,SUP077,SUP011,2024-02-12,2025-08-31,2024-09-17,167,中
SUP089,力成科技,台灣,新竹,封裝測試,記憶體封裝,PKG-MEM-001,8.90,50000,24,4.8,NET30,SUP010,SUP051,2024-01-05,2025-12-31,2024-09-16,334,低
SUP090,LG Display,韓國,坡州,顯示面板,車載顯示面板,DISPLAY-AUTO-001,158.50,4000,42,4.7,NET45,SUP002,SUP035,2024-03-20,2025-12-31,2024-09-15,34,中
SUP091,億緯鋰能,中國,惠州,電池模組,圓柱形電池,BAT-CYLINDER-001,6.60,180000,28,4.8,NET30,SUP003,SUP047,2024-02-25,2025-11-30,2024-09-14,456,低
SUP092,日本航空電子,日本,東京,連接器,微型連接器,CONN-MICRO-001,4.70,150000,25,4.8,NET30,SUP015,SUP037,2024-01-30,2025-10-31,2024-09-13,378,低
SUP093,3M,美國,明尼蘇達,膠帶材料,導電膠帶,TAPE-CONDUCTIVE-001,2.80,200000,20,4.8,NET45,SUP071,SUP082,2024-02-18,2025-09-30,2024-09-12,567,低
SUP094,Spigen,韓國,首爾,保護配件,手機保護殼,CASE-PHONE-001,8.90,80000,22,4.6,NET30,SUP083,SUP061,2024-03-08,2025-12-31,2024-09-11,289,中
SUP095,Isola,美國,亞利桑那,PCB基材,高速PCB基材,PCB-HS-SUB-001,28.50,15000,35,4.7,NET30,SUP084,SUP040,2024-01-12,2025-12-31,2024-09-10,123,中
SUP096,Sensirion,瑞士,施泰法,感測器,濕度感測器,HUMID-SENSOR-001,8.60,75000,32,4.9,NET60,SUP085,SUP074,2024-02-08,2025-10-31,2024-09-09,234,低
SUP097,Knowles,美國,伊利諾州,聲學元件,MEMS麥克風陣列,MIC-ARRAY-001,12.70,40000,28,4.8,NET30,SUP086,SUP053,2024-03-15,2025-11-30,2024-09-08,167,中
SUP098,Rogers,美國,亞利桑那,高頻材料,5G天線基材,ANT-5G-SUB-001,45.80,12000,38,4.7,NET45,SUP087,SUP043,2024-01-20,2025-12-31,2024-09-07,78,中
SUP099,Vicor,美國,麻州,電源模組,高效率電源模組,PSU-HE-001,68.90,8000,35,4.8,NET30,SUP088,SUP077,2024-02-15,2025-08-31,2024-09-06,56,中
SUP100,聯發科,台灣,新竹,處理器晶片,旗艦級處理器,CHIP-FLAG-001,325.60,5000,45,4.9,NET30,SUP001,SUP023,2024-01-01,2025-12-31,2024-09-05,45,低
